"id","AREA_5000","CIUDAD_AUTO","PROVINCIA","REGION","ZONA","VIVIENDA","PERIODO","TIPO_VI","JEFEHOGAR"
"22617","Rural","NA","Pichincha","Sierra","1","6","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"22618","Rural","NA","Pichincha","Sierra","1","7","Nov-13","Casa / villa","Jefe de hogar"
"22619","Rural","NA","Pichincha","Sierra","1","8","Nov-13","Casa / villa","NA"
"22620","Rural","NA","Pichincha","Sierra","1","9","Nov-13","Casa / villa","NA"
"22621","Rural","NA","Pichincha","Sierra","1","10","Nov-13","Casa / villa","NA"
"22622","Rural","NA","Pichincha","Sierra","1","11","Nov-13","Casa / villa","Jefe de hogar"
"22623","Rural","NA","Pichincha","Sierra","1","12","Nov-13","Departamento en casa o edificio","NA"
"22624","Rural","NA","Pichincha","Sierra","999","1","Nov-13","Casa / villa","Jefe de hogar"
"22625","Rural","NA","Pichincha","Sierra","999","2","Nov-13","Casa / villa","Cónyuge"
"22626","Rural","NA","Pichincha","Sierra","999","3","Nov-13","Mediagua","NA"
"22627","Rural","NA","Pichincha","Sierra","999","4","Nov-13","Casa / villa","Jefe de hogar"
"22628","Rural","NA","Pichincha","Sierra","999","5","Nov-13","Casa / villa","NA"
"22629","Rural","NA","Pichincha","Sierra","999","6","Nov-13","Casa / villa","NA"
"22630","Rural","NA","Pichincha","Sierra","999","7","Nov-13","Casa / villa","NA"
"22631","Rural","NA","Pichincha","Sierra","999","8","Nov-13","Casa / villa","Cónyuge"
"22632","Rural","NA","Pichincha","Sierra","999","9","Nov-13","Casa / villa","Jefe de hogar"
"22633","Rural","NA","Pichincha","Sierra","999","10","Nov-13","Casa / villa","Cónyuge"
"22634","Rural","NA","Pichincha","Sierra","999","11","Nov-13","Casa / villa","NA"
"22635","Rural","NA","Pichincha","Sierra","999","12","Nov-13","Casa / villa","NA"
"22636","Urbano","NA","Pichincha","Sierra","904","1","Sep-14","Casa / villa","Cónyuge"
"22637","Urbano","NA","Pichincha","Sierra","904","2","Sep-14","Mediagua","NA"
"22638","Urbano","NA","Pichincha","Sierra","904","3","Sep-14","Casa / villa","NA"
"22639","Urbano","NA","Pichincha","Sierra","904","4","Sep-14","Departamento en casa o edificio","Jefe de hogar"
"22640","Urbano","NA","Pichincha","Sierra","904","5","Sep-14","Departamento en casa o edificio","Jefe(a) y cónyuge"
"22641","Urbano","NA","Pichincha","Sierra","904","6","Sep-14","Casa / villa","Jefe de hogar"
"22642","Urbano","NA","Pichincha","Sierra","904","7","Sep-14","Casa / villa","NA"
